리뷰ID,작성자ID,제목,내용,리뷰 날짜,숙박 날짜,여행 유형,종합 평점,가격,장소,침대의 퀄리티,객실,청결도,서비스
911372947,unwook0316,매우좋았음,깔끔하고 고급스러웠음<br/>수영장은 진짜 행복했음<br/>중국분들이 많이 여행오시는편임<br/>교통도좋고 서비스좋고 <br/>특히 헬스장 시설 좋았음,2023년 8월 19일,2023년 8월,친구와 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
910624346,pink1343,시설도 특급 서비스도 특급,아이들과 여행하기 정말 좋은 곳입니다. 육지에도 이런 시설과 서비스가 있는 호텔이 있다면 분기별로 방문하고 싶을 정도로 아이들이 행복해했습니다~,2023년 8월 16일,2023년 8월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
910612040,1971sjlee,고급인 객실상태,"제주 노형동 위치해 있어 이동에 매우 편리한 입지를 자랑하는 그랜드 하얏트 제주는 <br/>야외 수영장, 실내 수영장, 피트니스 센터, 레스토랑이 있는데 저희는 38층 포차를 이용했습니다.<br/>맛과 분위기가 좋아요^^<br/>객실에는 대형평면 TV와 안전 금고도 있어요 <br/>전용 욕실에는 비데, &lt;발망&gt;제품 고급세면도구가 있었고요 <br/>리클라이너의자가  있어서 매우 편하게 이용했습니다.",2023년 8월 16일,2023년 8월,커플로 여행함,4.0,2.0,3.0,4.0,4.0,4.0,3.0
910403922,satanica0306,기대보다  더좋았던..,기대보다 더좋았던 제주 하얏트. 다시가고싶은호델 1순위이고 수영장.조식은  정말마음에든다. 도민으로  다른 풀빌라를  즐기기는 하지만 하얏트가 더 맘에 든다..,2023년 8월 15일,2023년 8월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
910142778,embalming2023,호캉스라는 걸 확실히 즐기게 해준 하얏트였어요,호캉스를 즐기고 싶은 분들께 추천해요. 야외수영장에서 비행기 날라갈때 사진 찍는것도 재미있어요 <br/>푹 쉴 수 있었고 주차는 지하4층이 널널하니 좋았어요. <br/>전반적으로 만족. ,2023년 8월 14일,2023년 8월,가족과 여행함,5.0,4.0,4.0,5.0,5.0,5.0,4.0
910131244,sunkj908,투숙후기,손님이 많아서 이해는 하지만 1타워 2타워 주차장 38층    이용하는 엘리베이트가 다 달라서 처음 객실<br/>들어갈때 만이라도 안내를 해주셨으면 좋겠습니다.,2023년 8월 14일,2023년 8월,가족과 여행함,3.0,2.0,4.0,4.0,4.0,3.0,2.0
909491565,whitekr04,내국여행객의 배려를 바람,중국관광객의 비중과 중요성은 이해하나 한국적인호텔의 모습이  중국인이나 다른국적관광객에게 더 매력적으로 보일수 있을수 있습니다 ,2023년 8월 11일,2023년 8월,가족과 여행함,4.0,3.0,4.0,4.0,4.0,4.0,4.0
908465795,ljekkh,즐거운 여행에 고급스러움과 편안함이 추가되는 곳,제주도 여행에서 빠질 수 없는 좋은 숙소. 편안한 숙소 선택!!<br/>여행의 시작이나 마무리는 공항과 가깝고 호텔안에서 모든걸 해결할 수 있는 하얏트에서의 숙박은<br/>우리 가족의 여행 피로를 풀 수 있는 좋은 공간 입니다.,2023년 8월 7일,2023년 7월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
908138661,gilbertohkr,좋은 위치 나이스뷰 청결도는 다소 미흡,가족여행을 다녀옴<br/>제주시내 관광하기에 위치 좋고<br/>신규호텔이어서 시설도 좋음<br/>객실크기도 동급대비 가장 넓은 느낌!!<br/>다만 급에 맞는 청결한 객실을 기대했으나 못미쳤음<br/>고객응대전화도 계속 통화중,2023년 8월 6일,2023년 8월,가족과 여행함,4.0,4.0,5.0,4.0,5.0,3.0,3.0
908016276,polymerjoa,룸서비스 엉망,2박3일 동안 커피포트도 없었고 2일째 가져다 달라했는데도 1시간 넘게 걸려 밤12시 다 되서 가져오는 등...엉망임. 전화 연결도 안되어서 룸객실번호 남겼는데 끝까지 전화오지 않음. 와이파이는 동영상을 HD로 보면 끊겨서 아주 불편함. 서비스가 1년전 대비 엉망임.,2023년 8월 5일,2023년 8월,가족과 여행함,2.0,1.0,3.0,5.0,5.0,5.0,1.0
907472881,bluecwahn,"제주 그랜드하얏트, 글로벌 명성에 걸맞다.","글로벌 명성에 맞는 시설과 서비스, 그리고 청결상태가 매우 좋았습니다.<br/>저희가 제주에 갈 때 항상 그랜드하얏트만 이용하는 이유입니다.",2023년 8월 3일,2023년 8월,가족과 여행함,5.0,3.0,4.0,4.0,4.0,5.0,5.0
907358569,wodnd012,호텔 뷰 맛집,뷰는 정말 좋았으나 방 컨디션 및 청결상태가 만족스럽지는 못했다.<br/>머리카락 및 손이 닿지않는 곳은 청소가 안된점. 블라인드 고장이 눈에 띄었음,2023년 8월 2일,2023년 7월,가족과 여행함,4.0,5.0,5.0,5.0,3.0,1.0,5.0
907272646,richenryu,역시 하얏트 입니다.,"호텔을 이용하기 전부터 기대가 있었고, 이용하면서 바로 느끼게 되는 서비스의 품격이 있었습니다. 다음 번에도 다시 오고 싶습니다. 시내 중심에 있어 공항에서 접근성도 좋습니다.",2023년 8월 2일,2023년 7월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
